data,size,algo,buildtime,querytime,params,recall
pca96v2,10M,Learned-index,22322.130576133728,216.55658864974976,learned-index-pca96v2-10M-ep=212-lr=0.008-cat=122-model=MLP-4-buck=1-862353.elixir-pbs.elixir-czech.cz,0.67625
pca96v2,10M,Learned-index,5743.931218862534,669.535078048706,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=122-model=MLP-6-buck=4-861285.elixir-pbs.elixir-czech.cz,0.88893
pca96v2,10M,Learned-index,30983.37863636017,1229.458880186081,learned-index-pca96v2-10M-ep=210-lr=0.001-cat=100-model=MLP-3-buck=6-858621.elixir-pbs.elixir-czech.cz,0.94893
pca96v2,10M,Learned-index,8434.069418430328,276.98853850364685,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=122-model=MLP-8-buck=1-861261.elixir-pbs.elixir-czech.cz,0.64038
pca96v2,10M,Learned-index,5321.681107997894,578.7330572605133,learned-index-pca96v2-10M-ep=40-lr=0.1-cat=120-model=MLP-2-buck=3-854955.elixir-pbs.elixir-czech.cz,0.84725
pca96v2,10M,Learned-index,29831.469705104828,407.5548188686371,learned-index-pca96v2-10M-ep=210-lr=0.009-cat=121-model=MLP-3-buck=2-862472.elixir-pbs.elixir-czech.cz,0.81361
pca96v2,10M,Learned-index,6905.921833992004,953.6053700447083,learned-index-pca96v2-10M-ep=50-lr=0.11-cat=122-model=MLP-2-buck=6-861565.elixir-pbs.elixir-czech.cz,0.9131
pca96v2,10M,Learned-index,8605.644358158112,397.8529348373413,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=124-model=MLP-6-buck=2-861286.elixir-pbs.elixir-czech.cz,0.78015
pca96v2,10M,Learned-index,28555.06923890114,1191.7653286457062,learned-index-pca96v2-10M-ep=200-lr=0.05-cat=100-model=MLP-8-buck=4-854192.elixir-pbs.elixir-czech.cz,0.9109
pca96v2,10M,Learned-index,30444.133920431137,485.1773660182953,learned-index-pca96v2-10M-ep=211-lr=0.007-cat=121-model=MLP-7-buck=2-862241.elixir-pbs.elixir-czech.cz,0.81496
pca96v2,10M,Learned-index,27341.724961280823,418.4354717731476,learned-index-pca96v2-10M-ep=210-lr=0.009-cat=116-model=MLP-5-buck=2-859489.elixir-pbs.elixir-czech.cz,0.82748
pca96v2,10M,Learned-index,13656.811882972717,397.4163453578949,learned-index-pca96v2-10M-ep=100-lr=0.005-cat=120-model=MLP-7-buck=2-853865.elixir-pbs.elixir-czech.cz,0.82075
pca96v2,10M,Learned-index,6245.202090024948,868.8091979026794,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=110-model=MLP-6-buck=5-861479.elixir-pbs.elixir-czech.cz,0.90618
pca96v2,10M,Learned-index,39064.234444856644,395.6625328063965,learned-index-pca96v2-10M-ep=300-lr=0.01-cat=200-model=MLP-buck=2-861890.elixir-pbs.elixir-czech.cz,0.7845
